PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR15506033722		Molecular identification of blood meals in mosquitoes (Diptera, Culicidae) in urban and forested habitats in southern Brazil.		Santos, Camila Silva; Pie, Marcio Roberto; da Rocha, Tatiana Carneiro; Navarro-Silva, Mario Antonio				PLoS ONE	14	2		e0212517	Feb 19 2019	2019							The study of host associations of mosquitoes (Diptera, Culicidae) provides valuable information to assist in our understanding of a variety of related issues, from their life-history to the entomological surveillance of pathogens. In this study, we identified and characterized mosquito blood meals from both urban and forested areas in the city of Paranagua, state of Parana, Brazil, by analyzing the amplification of host DNA ingested by mosquitoes under different storage conditions and digestion levels. Host DNA preservation was evaluated in fresh blood meals according to storage duration (30 to 180 days) and temperature (-20[degree]C / -80[degree]C) and, in digested blood, according the degree of digestion classified on the Sella scale. Molecular analysis of blood meals was based on DNA extraction and amplification of a fragment of the mitochondrial COI gene. We determined that, up to 180 days of storage, the evaluated temperatures did not influence the preservation of fresh blood meals DNA, whereas the amplification success was increasingly reduced over the course of the digestion process. The species Anopheles cruzii, Aedes fluviatilis, Aedes scapularis, Psorophora ferox, Culex quinquefasciatus, Culex mollis, and Culex intrincatus, together with specimens representing four subgenera and one genus of Culicidae (Ae. (Ochlerotatus), Cx. (Culex), Cx. (Melanoconion), Cx. (Microculex), and Limatus, respectively) had their blood meals identified. Their diverse host use was evidenced by the identification of 19 species of vertebrate host, namely two amphibians, three mammals and 14 birds. Birds were the most commonly identified host in blood meals. These results not only show the diversity of mosquito hosts, but also underscore the challenges involved in monitoring arboviruses of public health importance, given potential combinations of host use for each mosquito species.			da Silva, Mario Antonio Navarro/C-5287-2013; Santos, Camila Silva/R-2137-2019; S. Santos, Camila/F-3380-2018	S. Santos, Camila/0000-0002-8733-2627; Navarro da Silva, Mario Antonio/0000-0002-9762-632X				1932-6203								ZOOREC:ZOOR15506033722	30779816				
J	ZOOR15601002542		Invasion by the red-vented bulbul: an overview of recent studies in New Caledonia.		Thibault, M.; Vidal, E.; Potter, M.A.; Masse, F.; Pujapujane, A.; Fogliani, B.; Lannuzel, G.; Jourdan, H.; Robert, N.; Demaret, L.; Barre, N.; Brescia, E.				Occasional Papers of the IUCN Species Survival Commission	62			309-316	2019	2019							New Caledonia is a tropical archipelago of the South Pacific Ocean, and is one of the 36 world biodiversity hotspots. However, its unique biodiversity is increasingly threatened by habitat fragmentation and introductions of invasive alien species. Among these invaders, the red-vented bulbul (Pycnonotus cafer) is currently expanding towards the north of the main island. This passerine features in the IUCN-ISSG list of the 100 worst invasive species of the world because of impacts caused by its diet. Thirty-five years after its introduction, we present an overview of data from recent studies conducted in New Caledonia that describe the local status of the red-vented bulbul, its range expansion, and potential impacts on both the local biodiversity and agriculture. Biannual monitoring of the distribution coupled with surveillance at the edges of native forests highlighted a tight association of the bulbul with man-modified habitats. Using a distance sampling method, we estimated that bulbul densities within the distribution core varied from a peak of 200 individuals/ km<sup>2</sup> in the main city of Noumea, where the species has been introduced, to 30 individuals/km<sup>2</sup> in rural habitats located 50 km away from Noumea. We conducted a diet analysis on 40 bulbul corpses and found that 82% and 55% of individuals had consumed plant and animal items, respectively. We identified plant and insect species that may be of concern in the contexts of seed dispersal and predation by the red-vented bulbul. Finally, a food colour selection experiment and an open field test showed that the red-vented bulbul had a significant preference for red and sweet fruits. We estimated the economic loss caused by bulbuls to a tomato grower and discuss the result with respect to the development of an adapted management strategy, to prevent further impacts of the red-vented bulbul on the biodiversity and agriculture in the tropical island hotspot of New Caledonia.								1026-4965								ZOOREC:ZOOR15601002542					
J	ZOOR15511075676		Snacks in the city: the diet of hedgehogs in Auckland urban forest fragments.		Nottingham, Catherine M.; Glen, Alistair S.; Stanleyl, Margaret C.				New Zealand Journal of Ecology	43	2		3374	2019	2019							Urbanisation causes fragmentation of natural habitats, which results in loss of biodiversity, while promoting an environment that can facilitate invasive species. However, forest fragments are an important refuge for native species and therefore understanding and mitigating threats in fragments is critical. While the impacts of some mammalian pest species, such as rats (Rattus spp.), are relatively well-known in New Zealand, hedgehogs (Erinaceus europaeus) are relatively understudied invasive mammals, and their impacts in urban fragments are unknown. Hedgehogs are abundant and widespread in New Zealand, with a relatively broad diet that can include invertebrates, lizards and bird eggs. We examined the stomach contents of 44 hedgehogs collected from 10 forest fragments in urban Auckland, New Zealand. Hedgehogs were feeding predominantly on invertebrates (Coleoptera, found in 53% of stomachs; earthworms, 43%; slugs, 23%), but also weta (13%), giant centipedes (5%), birds (7%) and lizards (2%) at lower frequencies. Hedgehogs are likely to be affecting community composition primarily through predation of invertebrates, with unknown effects on their populations.				Glen, Al/0000-0002-7777-7630				0110-6465								ZOOREC:ZOOR15511075676					
J	ZOOR15509057825		STOMACH CONTENT ANALYSIS OF Crypturellus noctivagus noctivagus (TINAMIFORMES, TINAMIDAE) IN SOUTHERN BRAZIL.		Costa Correa, Luiz Liberato; Petry, Maria Virginia				Oecologia Australis	23	1		145-149	2019	2019							Studies reporting specific aspects of forest tinamous' feeding ecology are still scarce in the scientific literature, and most of the available information report only casual observations. The Crypturellus noctivagus noctivagus (Tinamiformes, Tinamidae) is a forest bird endemic to Brazil, which occurs from southern Bahia to Rio Grande do Sul. In this study, we analyzed food items found in the stomach content of one C. n. noctivagus individual in the state of Rio Grande do Sul, Brazil. We found seeds of Nectandra megapotamica (Laurales, Lauraceae) and Myrcianthes gigantea (Myrtales, Myrtaceae), totalizing 2.259 g. We also found insect fragments of the orders Coleoptera and Lepidoptera, one individual of the family Curculionidae (Coleoptera), and one larval specimen of Dirphia muscosa (Lepdoptera), totalizing 0.637 g of stomach content, and rock fragments weight 1.741 g. This study provides records of the C. n. noctivagus species feeding habits, contributing to the knowledge about the trophic ecology of Tinamiformes in South Brazil.			petry, maria/K-8410-2013	petry, maria/0000-0002-7870-7394				2177-6199								ZOOREC:ZOOR15509057825					
J	ZOOR15508051023		Proactive development of invasive species damage functions prior to species reintroduction.		Nottingham, Catherine M.; Glen, Alistair S.; Stanley, Margaret C.				Global Ecology and Conservation	17			e00534	Jan 2019	2019							Damage function models can determine the nature of relationships between the pest population and impact, and can provide guidance about when pest control is required. However, damage functions usually assess risk to species currently occupying conservation areas. Damage functions are not currently used to predict risk to species yet to be reintroduced to conservation areas. While the impacts of several mammalian pest species, such as rats (Rattus spp.), are relatively well-known in urban forest fragments, hedgehogs (Erinaceus europaeus) are relatively understudied invasive mammals, and their impacts in urban fragments are unknown. Conservation areas within cities provide important habitat for native species and are a focus of current conservation efforts. We developed a damage function describing the relationship between the relative abundance of hedgehogs (determined using a chew card index) and their potential impact (estimated by egg mortality in artificial nests) in a New Zealand urban environment. Egg mortality was positively related to hedgehog abundance, although some egg mortality occurred even at the lowest hedgehog abundances measured. Conservation managers should prioritise hedgehog control at sites of highest hedgehog relative abundances and/or sites containing high value species likely to be at risk. Our results demonstrate the need for conservation managers to proactively assess potential threats to protected areas. Further, we show that damage functions provide an objective means of assessing threats prior to reintroduction of species. (C) 2019 The Authors. Published by Elsevier B.V.			; Stanley, Margaret/F-2580-2011	Glen, Al/0000-0002-7777-7630; Stanley, Margaret/0000-0003-0701-8935				2351-9894								ZOOREC:ZOOR15508051023					
J	ZOOR15503016013		The role of Lantana camara in areas of bell miner (Manorina melanophrys) associated dieback and its implications for terrestrial mammal and insectivorous bat populations.		Wright, Penny E.; Lambert, Kathryn T.A.; McDonald, Paul G.				Australian Mammalogy	41	1		49-56	2019	2019							Bell miner-associated dieback (BMAD) is a form of canopy decline involving bell miner (Manorina melanophrys) colonies on the eastern coast of Australia. The association can include an understorey of lantana (Lantana camara) preventing eucalypt regeneration. To date, comparatively little is known about the effects of these processes on mammal diversity and abundance. We therefore considered the effects of BMAD and lantana presence on ground mammals and insectivorous bats in four forest sites within New South Wales. These were monitored in association with a restoration project for the treatment of lantana that used glyphosate spraying to kill lantana in half of six 50mx50m quadrats per site (three control and three treated). Passive bioacoustic recorders, infrared cameras and Elliott traps were used to survey understorey fauna over four consecutive nights during each season. We found a greater number of small ground-dwelling and large mammals in control areas with an intact understorey of lantana relative to areas where lantana had been treated. However, insectivorous bats were not influenced by lantana presence. Our results suggest that ground-dwelling mammals benefit from the presence of lantana, as it may provide structural complexity that reduces predation risk and/or provides a food resource.				McDonald, Paul/0000-0002-9541-3304				0310-0049								ZOOREC:ZOOR15503016013					
J	ZOOR15503013427		Niche shift in three foraging insectivorous birds in lowland Malaysian forest patches.		Mansor, Mohammad Saiful; Nor, Shukor Md.; Ramli, Rosli; Sah, Shahrul Anuar Mohd				Behavioural Processes	157			73-79	Dec 2018	2018							With the rapid growth of agricultural areas globally, forest birds increasingly encounter fragmented landscapes in which forest patches are surrounded by an agricultural plantation matrix, yet how birds respond behaviourally to this fragmentation is poorly understood. Information on microhabitat requirements of birds is scarce, but nevertheless essential to predicting adaptation of bird species to the patchy landscapes. We investigated foraging patterns of three tropical insectivorous birds, Green bra Aegithina viridissima, Pin-striped Tit-Babbler Macronus gularis and Chestnut-winged Babbler Cyanoderma erythropterum, to determine whether they vary in foraging methods in different forest patches. Our study area encompassed old-logged lowland forest; one continuous forest and three forest patches. Observations were performed for 15 days every month for a period of 13 months. Information on foraging height, substrate, attack manoeuvres, and foliage density was collected independently for each foraging bird individual. All three species used different foraging substrates and attack manoeuvres in different habitat types. The Green bra frequently used lower strata when foraging in forest patches as opposed to continuous forest, while the Pin-striped Tit-Babbler tended to forage in more dense vegetation in patches. Only Chestnut-winged Babbler displayed complete foraging plasticity across all study parameters. Different habitat features (e.g., edges, microclimates) between continuous forest and forest patches significantly influenced the foraging strategies of the study species. These changes in foraging strategies suggest that some Malaysian forest birds (e.g. generalist species) can respond behaviourally to fragmentation and habitat loss. Although continuous forest has critically important characteristics that need to be conserved, remnant forest patches are also important as ecological movement corridors and foraging grounds for birds.			Ramli, Rosli/A-8498-2010	Ramli, Rosli/0000-0003-0410-9604; Mansor, Mohammad Saiful/0000-0002-8472-780X				0376-6357								ZOOREC:ZOOR15503013427	30193765				
J	ZOOR15506033907		Ecological aspects of Phlebotomines (Diptera: Psychodidae) and the transmission of American cutaneous leishmaniasis agents in an Amazonian/Guianan bordering area.		dos Santos, Thiago Vasconcelos; Prevot, Ghislaine; Ginouves, Marine; Duarte, Rosemere; Silveira, Fernando Tobias; Povoa, Marinete Marins; Rangel, Elizabeth Ferreira				Parasites & Vectors	11			612	Nov 29 2018	2018							Background: An entomological study was conducted in the municipality of Oiapoque (lower Oyapock River Basin) in the Brazilian side bordering French Guiana to gain information on the transmission pattern of American cutaneous leishmaniasis (ACL) in that region, presumed to reflect the classical Amazonian/Guianan enzootic scenario. Methods: Three ecologically isolated forested areas near urban environments were surveyed during the rainy and dry seasons of 2015 and 2016, using a multi-trapping approach comprising ground-level and canopy light traps, black and white colored cloth Shannon traps and manual aspiration on tree bases. Female phlebotomines were dissected to find infections and isolate flagellates from Leishmania spp. The strains were characterized by restriction fragment length polymorphism analysis and compared with those of local ACL cases and World Health Organization reference strains. Results: Nyssomyia umbratilis, Trichopygomyia trichopyga and Evandromyia infraspinosa were the most frequently found species. Findings on relative abundance, spatiotemporal vector/ACL congruence, natural infections and anthropophilic insights strengthened the Guianan classical transmission of Leishmania (Viannia) guyanensis by Ny. umbratilis and suggested further investigations for Ev. infraspinosa. Nyssomyia umbratilis showed an eclectic feeding habit, including bird blood. Ecological data and literature reports also included Psychodopygus squamiventris maripaensis and Bichromomyia flaviscutellata on the list of suspected vectors. Conclusions: These findings contributed to understanding ACL ecoepidemiology in the Amazonian/Guianan scenario. Local studies are required to better comprehend the Leishmania spp. enzootic mosaic in specific ecotopes.								1756-3305								ZOOREC:ZOOR15506033907					
J	ZOOR15508049713		Ecological aspects of Phlebotomines (Diptera: Psychodidae) and the transmission of American cutaneous leishmaniasis agents in an Amazonian/Guianan bordering area.		dos Santos, Thiago Vasconcelos; Prevot, Ghislaine; Ginouves, Marine; Duarte, Rosemere; Silveira, Fernando Tobias; Povoa, Marinete Marins; Rangel, Elizabeth Ferreira				Parasites & Vectors	11			612	Nov 29 2018	2018							Background: An entomological study was conducted in the municipality of Oiapoque (lower Oyapock River Basin) in the Brazilian side bordering French Guiana to gain information on the transmission pattern of American cutaneous leishmaniasis (ACL) in that region, presumed to reflect the classical Amazonian/Guianan enzootic scenario. Methods: Three ecologically isolated forested areas near urban environments were surveyed during the rainy and dry seasons of 2015 and 2016, using a multi-trapping approach comprising ground-level and canopy light traps, black and white colored cloth Shannon traps and manual aspiration on tree bases. Female phlebotomines were dissected to find infections and isolate flagellates from Leishmania spp. The strains were characterized by restriction fragment length polymorphism analysis and compared with those of local ACL cases and World Health Organization reference strains. Results: Nyssomyia umbratilis, Trichopygomyia trichopyga and Evandromyia infraspinosa were the most frequently found species. Findings on relative abundance, spatiotemporal vector/ACL congruence, natural infections and anthropophilic insights strengthened the Guianan classical transmission of Leishmania (Viannia) guyanensis by Ny. umbratilis and suggested further investigations for Ev. infraspinosa. Nyssomyia umbratilis showed an eclectic feeding habit, including bird blood. Ecological data and literature reports also included Psychodopygus squamiventris maripaensis and Bichromomyia flaviscutellata on the list of suspected vectors. Conclusions: These findings contributed to understanding ACL ecoepidemiology in the Amazonian/Guianan scenario. Local studies are required to better comprehend the Leishmania spp. enzootic mosaic in specific ecotopes.								1756-3305								ZOOREC:ZOOR15508049713					
J	ZOOR15504022053		Land Use and Larval Habitat Increase Aedes albopictus (Diptera: Culicidae) and Culex quinquefasciatus (Diptera: Culicidae) Abundance in Lowland Hawaii.		McClure, Katherine M.; Lawrence, Charlotte; Kilpatrick, A. Marm				Journal of Medical Entomology	55	6		1509-1516	Nov 2018	2018							Vector abundance plays a key role in transmission of mosquito-borne disease. In Hawaii, Aedes albopictus (Skuse) (Diptera: Culicidae), the Asian tiger mosquito, has been implicated in locally-transmitted dengue outbreaks, while Culex quinquefasciatus Say (Diptera: Culicidae), the southern house mosquito, is the primary vector of avian malaria, a wildlife disease that has contributed to declines and extinctions of native Hawaiian birds. Despite the importance of these introduced species to human and wildlife health, little is known about the local-scale drivers that shape mosquito abundance across lowland Hawaii, where forest, agricultural, and residential land uses are prevalent. We examined landscape, larval habitat, and climate drivers of Ae. albopictus and Cx. quinquefasciatus abundance in eight lowland wet forest fragments on the Big Island of Hawaii. We found that the abundance of both species increased with the proportion of surrounding developed land and the availability of larval habitat, which were themselves correlated. Our findings suggest that conversion of natural habitats to residential and agricultural land increases mosquito larval habitats, increasing the abundance of Ae. albopictus and Cx. quinquefasciatus and increasing disease risk to humans and wildlife in Hawaii. Our results further indicate that while source reduction of artificial larval habitats-particularly moderately-sized human-made habitats including abandoned cars and tires-could reduce mosquito abundance, eliminating larval habitat will be challenging because both species utilize both natural and human-made larval habitats in lowland Hawaii.								0022-2585								ZOOREC:ZOOR15504022053	30085189				
J	ZOOR15502007144		Foraging ecology and flocking behavior of insectivorous forest birds inform management of Andean silvopastures for conservation.		Tarbox, Bryan C.; Robinson, Scott K.; Loiselle, Bette; Flory, S. Luke				Condor	120	4		787-802	Nov 2018	2018							Wildlife-friendly agricultural practices, such as agroforestry, can play an important role in conserving biodiversity by providing and connecting habitat across working landscapes. Silvopastures (i.e. pastures with substantial tree cover), in particular, possess considerable potential for conserving biodiversity due to the dominance of pastoral landscapes in many regions. However, to balance tradeoffs between the conservation and agricultural values of these anthropogenic systems, better information on wildlife use and how it relates to habitat quality is needed. To improve our mechanistic understanding of silvopastoral habitat quality, and to develop management recommendations, we evaluated the foraging behavior of insectivorous forest birds in Andean silvopastures compared with forest fragments. Focal species' prey attack rates were >25% lower in silvopastures than in forest fragments, suggesting that arthropod prey were less abundant or accessible in silvopastures than in forest fragments. In forest fragments, birds in mixed-species foraging flocks attacked prey more frequently than solitary birds. In silvopastures, flocking and solitary birds attacked prey at similar rates, and birds foraged in flocks half as frequently as in forest fragments. Insectivorous birds preferentially foraged in a small subset of tree genera in forest fragments, but did not exhibit selective foraging in less botanically diverse silvopastures. Insectivorous species that used silvopastures foraged in microhabitats such as vine tangles and hanging dead leaves less frequently than species that did not use silvopastures. Forest species that used silvopastures may have been negatively affected by a breakdown of beneficial interspecific interactions in silvopastures, highlighting the potential for cascading effects of species loss in anthropogenic habitats. Managing silvopastures to include preferred tree species and microhabitats could improve their habitat quality for forest species, but strategies to enhance the conservation value of managed landscapes with silvopastures must also include preservation of forest fragments.								0010-5422								ZOOREC:ZOOR15502007144					
